FA18|0001|2018-10-01, 00:00:00|2018-12-12, 23:59:59
WI11|0008|2011-01-04, 00:00:00|2018-03-09, 23:59:59
SP17|0003|2017-03-15, 00:00:00|2018-06-10, 23:59:59
SU14|0009|2014-08-01, 00:00:00|2018-09-12, 23:59:59
SP09|0005|2009-03-13, 00:00:00|2018-06-08, 23:59:59
WI13|0007|2013-01-02, 00:00:00|2018-03-05, 23:59:59
FA02|0002|2002-10-02, 00:00:00|2018-12-16, 23:59:59
WI19|0004|2019-01-05, 00:00:00|2019-03-15, 23:59:59
SU15|0010|2015-07-29, 00:00:00|2018-09-08, 23:59:59
SP00|0006|2000-03-21, 00:00:00|2018-06-03, 23:59:59
