www.drama.edu|DramaSyllabus|Baozi is joining in this class! Welcome!
www.database.edu|databaseSyllabus|This is a database announcement
www.cooking.edu|cookingSyllabus|This is a cooking announcement
www.playwriting.edu|playwritingSyllabus|This is a playwriting announcement
www.physics.edu|physicsSyllabus|This is a physics announcement
www.pythonprogramming.edu|pythonprogrammingSyllabus|This is a python programming announcement
www.javaprogramming.edu|javaprogrammingSyllabus|This is a java programming announcement
www.karaokepracticing.edu|karaokepracticingSyllabus|This is a karaoke practicing announcement
www.chess.edu|chessSyllabus|This is a chess announcement
www.jazzdance.edu|jazzdanceSyllabus|This is a jazz dance announcement
www.guitarpracticing.edu|guitarpracticingSyllabus|This is a guitar practicing announcement
